,geoid2,geoid,group1_num
181,BOS25025981800,25025981800,4
45,BOS25025040100,25025040100,1
149,BOS25025120105,25025120105,1
147,BOS25025120103,25025120103,1
78,BOS25025070600,25025070600,1
49,BOS25025040600,25025040600,4
67,BOS25025060600,25025060600,4
32,BOS25025010702,25025010702,4
33,BOS25025010801,25025010801,1
34,BOS25025010802,25025010802,1
72,BOS25025061200,25025061200,4
37,BOS25025020301,25025020301,4
158,BOS25025130300,25025130300,1
42,BOS25025030300,25025030300,4
63,BOS25025060200,25025060200,1
35,BOS25025020101,25025020101,1
62,BOS25025060101,25025060101,1
146,BOS25025110607,25025110607,1
66,BOS25025060501,25025060501,1
157,BOS25025130200,25025130200,1
47,BOS25025040300,25025040300,1
79,BOS25025070700,25025070700,1
44,BOS25025030500,25025030500,4
75,BOS25025070300,25025070300,4
177,BOS25025981300,25025981300,4
69,BOS25025060800,25025060800,1
77,BOS25025070500,25025070500,1
31,BOS25025010701,25025010701,4
65,BOS25025060400,25025060400,1
154,BOS25025120600,25025120600,1
30,BOS25025010600,25025010600,4
64,BOS25025060301,25025060301,1
6,BOS25025000301,25025000301,1
40,BOS25025030100,25025030100,1
43,BOS25025030400,25025030400,4
155,BOS25025120700,25025120700,4
145,BOS25025110601,25025110601,1
148,BOS25025120104,25025120104,1
38,BOS25025020302,25025020302,1
152,BOS25025120400,25025120400,1
73,BOS25025070101,25025070101,4
41,BOS25025030200,25025030200,1
156,BOS25025130100,25025130100,4
130,BOS25025100603,25025100603,4
4,BOS25025000201,25025000201,1
144,BOS25025110502,25025110502,1
48,BOS25025040401,25025040401,4
39,BOS25025020303,25025020303,4
143,BOS25025110501,25025110501,1
166,BOS25025140201,25025140201,4
140,BOS25025110301,25025110301,4
142,BOS25025110403,25025110403,1
163,BOS25025140105,25025140105,1
36,BOS25025020200,25025020200,1
109,BOS25025091001,25025091001,4
132,BOS25025100800,25025100800,4
7,BOS25025000302,25025000302,1
80,BOS25025070800,25025070800,1
131,BOS25025100700,25025100700,4
162,BOS25025140102,25025140102,4
3,BOS25025000100,25025000100,4
151,BOS25025120301,25025120301,1
127,BOS25025100400,25025100400,1
153,BOS25025120500,25025120500,1
169,BOS25025140400,25025140400,1
167,BOS25025140202,25025140202,1
56,BOS25025050600,25025050600,4
110,BOS25025091100,25025091100,1
121,BOS25025092200,25025092200,1
138,BOS25025110103,25025110103,1
5,BOS25025000202,25025000202,1
159,BOS25025130402,25025130402,4
107,BOS25025090700,25025090700,4
165,BOS25025140107,25025140107,1
111,BOS25025091200,25025091200,1
