,CASE_ENQUIRY_ID,Source,storm_event,Latitude,Longitude
1018505,101000783301,Citizens Connect App,Nemo,42.3381,-71.0982
1018506,101000783300,Constituent Call,Nemo,42.2947,-71.0697
1018507,101000783296,Constituent Call,Nemo,42.3404,-71.1008
1018508,101000783293,Constituent Call,Nemo,42.3532,-71.0789
1018509,101000783288,Citizens Connect App,Nemo,42.3381,-71.0982
1018510,101000783287,Self Service,Nemo,42.342,-71.0804
1018511,101000783286,Citizens Connect App,Nemo,42.3393,-71.1
1018512,101000783285,Citizens Connect App,Nemo,42.3393,-71.1
1018513,101000783284,Citizens Connect App,Nemo,42.3388,-71.0988
1018514,101000783283,Citizens Connect App,Nemo,42.3388,-71.0988
1018515,101000783282,Citizens Connect App,Nemo,42.3427,-71.1032
1018516,101000783279,Constituent Call,Nemo,42.3158,-71.0663
1018517,101000783277,Constituent Call,Nemo,42.3354,-71.0457
1018518,101000783273,Citizens Connect App,Nemo,42.3314,-71.0414
1018519,101000783271,Constituent Call,Nemo,42.3094,-71.0742
1018520,101000783263,Constituent Call,Nemo,42.3484,-71.0838
1018521,101000783259,Constituent Call,Nemo,42.3387,-71.0979
1018522,101000783257,Constituent Call,Nemo,42.3387,-71.0979
1018523,101000783251,Constituent Call,Nemo,42.2948,-71.0715
1018524,101000783249,Constituent Call,Nemo,42.3566,-71.1381
1018525,101000783240,Constituent Call,Nemo,42.3559,-71.1382
1018526,101000783233,Self Service,Nemo,42.3605,-71.064
1018527,101000783232,Citizens Connect App,Nemo,42.3417,-71.1445
1018528,101000783231,Self Service,Nemo,42.3359,-71.1509
1018529,101000783226,Constituent Call,Nemo,42.3556,-71.1378
1018530,101000783217,Constituent Call,Nemo,42.3224,-71.1056
1018531,101000783214,Constituent Call,Nemo,42.3064,-71.0777
1018532,101000783212,Constituent Call,Nemo,42.3594,-71.0587
1018533,101000783208,Self Service,Nemo,42.343999999999994,-71.0899
1018534,101000783207,Citizens Connect App,Nemo,42.3221,-71.1094
1018535,101000783206,Constituent Call,Nemo,42.3862,-71.0731
1018536,101000783204,Citizens Connect App,Nemo,42.36600000000001,-71.05199999999999
1018537,101000783201,Constituent Call,Nemo,42.2893,-71.0539
1018538,101000783199,Constituent Call,Nemo,42.3381,-71.04
1018539,101000783193,Citizens Connect App,Nemo,42.3357,-71.1499
1018540,101000783190,Self Service,Nemo,42.2877,-71.0405
1018541,101000783187,Constituent Call,Nemo,42.3379,-71.0749
1018542,101000783180,Constituent Call,Nemo,42.2703,-71.0983
1018543,101000783178,Self Service,Nemo,42.2977,-71.0598
1018544,101000783176,Self Service,Nemo,42.2969,-71.0558
1018545,101000783167,Constituent Call,Nemo,42.3352,-71.0432
1018546,101000783165,Citizens Connect App,Nemo,42.3046,-71.1146
1018547,101000783164,Citizens Connect App,Nemo,42.3046,-71.1146
1018548,101000783160,Self Service,Nemo,42.3007,-71.0823
1018549,101000783159,Constituent Call,Nemo,42.3466,-71.1051
1018550,101000783157,Constituent Call,Nemo,42.318000000000005,-71.0673
1018551,101000783153,Constituent Call,Nemo,42.3341,-71.0908
1018552,101000783151,Constituent Call,Nemo,42.3594,-71.0587
1018553,101000783148,Constituent Call,Nemo,42.3427,-71.0849
1018554,101000783145,Self Service,Nemo,42.3808,-71.0698
1018555,101000783138,Self Service,Nemo,42.278,-71.0665
1018556,101000783137,Constituent Call,Nemo,42.335,-71.0522
1018557,101000783135,Constituent Call,Nemo,42.3286,-71.0901
1018558,101000783133,Constituent Call,Nemo,42.2862,-71.1376
1018559,101000783131,Constituent Call,Nemo,42.3287,-71.092
1018560,101000783129,Constituent Call,Nemo,42.3084,-71.1227
1018561,101000783125,Citizens Connect App,Nemo,42.3848,-71.0149
1018562,101000783124,Constituent Call,Nemo,42.3468,-71.1672
1018563,101000783122,Constituent Call,Nemo,42.3198,-71.093
1018564,101000783118,Constituent Call,Nemo,42.3653,-71.0318
1018565,101000783115,Constituent Call,Nemo,42.2896,-71.0616
1018566,101000783113,Constituent Call,Nemo,42.379,-71.0626
1018567,101000783111,Citizens Connect App,Nemo,42.3075,-71.1153
1018568,101000783108,Citizens Connect App,Nemo,42.3581,-71.0707
