,CASE_ENQUIRY_ID,Source,storm_event,Latitude,Longitude
53340,101002327478,Constituent Call,Normal,42.3388,-71.0495
53341,101002327477,Citizens Connect App,Normal,42.3594,-71.0587
53342,101002327476,Constituent Call,Normal,42.3051,-71.0821
53343,101002327475,Self Service,Normal,42.3209,-71.1048
53344,101002327473,Citizens Connect App,Normal,42.3441,-71.068
53345,101002327472,Citizens Connect App,Normal,42.3594,-71.0587
53346,101002327471,Citizens Connect App,Normal,42.3594,-71.0587
53347,101002327470,Citizens Connect App,Normal,42.333999999999996,-71.0431
53348,101002327469,Citizens Connect App,Normal,42.3594,-71.0587
53349,101002327468,Constituent Call,Normal,42.3594,-71.0587
53350,101002327467,Citizens Connect App,Normal,42.3594,-71.0587
53351,101002327465,Citizens Connect App,Normal,42.3805,-71.0654
53352,101002327464,Citizens Connect App,Normal,42.3594,-71.0587
53353,101002327463,Citizens Connect App,Normal,42.3385,-71.04899999999999
53354,101002327461,Citizens Connect App,Normal,42.3732,-71.0388
53355,101002327459,Citizens Connect App,Normal,42.3646,-71.0506
53356,101002327458,Citizens Connect App,Normal,42.3594,-71.0587
53357,101002327457,Citizens Connect App,Normal,42.3135,-71.0607
53358,101002327456,Citizens Connect App,Normal,42.3646,-71.0506
53359,101002327455,Constituent Call,Normal,42.3594,-71.0587
53360,101002327454,Citizens Connect App,Normal,42.3817,-71.0708
53361,101002327453,Citizens Connect App,Normal,42.3358,-71.0347
53362,101002327452,Citizens Connect App,Normal,42.3327,-71.0491
53363,101002327451,Citizens Connect App,Normal,42.3594,-71.0587
53364,101002327450,Constituent Call,Normal,42.3594,-71.0587
53365,101002327449,Citizens Connect App,Normal,42.3205,-71.0608
53366,101002327448,Citizens Connect App,Normal,42.3821,-71.0356
53367,101002327447,Citizens Connect App,Normal,42.3442,-71.1502
53368,101002327446,Citizens Connect App,Normal,42.3594,-71.0587
53369,101002327445,Citizens Connect App,Normal,42.3594,-71.0587
53370,101002327443,Citizens Connect App,Normal,42.3394,-71.0753
53371,101002327442,Constituent Call,Normal,42.3594,-71.0587
53372,101002327441,Citizens Connect App,Normal,42.3394,-71.0753
53373,101002327440,Citizens Connect App,Normal,42.3357,-71.0764
53374,101002327438,Citizens Connect App,Normal,42.3594,-71.0587
53375,101002327436,Citizens Connect App,Normal,42.3339,-71.0429
53376,101002327435,Citizens Connect App,Normal,42.333999999999996,-71.0431
53377,101002327434,Citizens Connect App,Normal,42.3594,-71.0587
53378,101002327433,Citizens Connect App,Normal,42.3571,-71.0702
53379,101002327432,Citizens Connect App,Normal,42.3572,-71.0706
53380,101002327431,Citizens Connect App,Normal,42.3812,-71.0309
53381,101002327430,Constituent Call,Normal,42.3513,-71.1299
53382,101002327428,Constituent Call,Normal,42.3795,-71.0715
53383,101002327426,Self Service,Normal,42.2778,-71.1239
53384,101002327424,Citizens Connect App,Normal,42.3515,-71.0581
53385,101002327423,Constituent Call,Normal,42.2857,-71.0552
53386,101002327422,Citizens Connect App,Normal,42.3594,-71.0587
53387,101002327421,Constituent Call,Normal,42.3594,-71.0587
53388,101002327420,Citizens Connect App,Normal,42.3385,-71.04899999999999
53389,101002327419,Citizens Connect App,Normal,42.367,-71.062
53390,101002327418,Citizens Connect App,Normal,42.3519,-71.0815
53391,101002327416,Constituent Call,Normal,42.2985,-71.0663
53392,101002327410,Constituent Call,Normal,42.283,-71.085
53393,101002327408,Citizens Connect App,Normal,42.3413,-71.0773
53394,101002327407,Citizens Connect App,Normal,42.3594,-71.0587
53395,101002327406,Self Service,Normal,42.2893,-71.1545
53396,101002327405,Citizens Connect App,Normal,42.3053,-71.0671
53397,101002327404,Citizens Connect App,Normal,42.3463,-71.0941
53398,101002327403,Citizens Connect App,Normal,42.3053,-71.0671
53399,101002327402,Citizens Connect App,Normal,42.3401,-71.1492
53400,101002327401,Constituent Call,Normal,42.3594,-71.0587
53401,101002327400,Citizens Connect App,Normal,42.3327,-71.0491
53402,101002327399,Citizens Connect App,Normal,42.3316,-71.0349
53403,101002327398,Citizens Connect App,Normal,42.3768,-71.0397
53404,101002327397,Citizens Connect App,Normal,42.2947,-71.0608
53405,101002327396,Constituent Call,Normal,42.3594,-71.0587
53406,101002327395,Citizens Connect App,Normal,42.3594,-71.0587
53407,101002327394,Citizens Connect App,Normal,42.3594,-71.0587
53408,101002327393,Constituent Call,Normal,42.2888,-71.0613
53409,101002327392,Citizens Connect App,Normal,42.3594,-71.0587
53410,101002327391,Citizens Connect App,Normal,42.3053,-71.0671
53411,101002327390,Constituent Call,Normal,42.3594,-71.0587
53412,101002327389,Citizens Connect App,Normal,42.3053,-71.0671
53413,101002327388,Constituent Call,Normal,42.3594,-71.0587
53414,101002327387,Constituent Call,Normal,42.3594,-71.0587
53415,101002327386,Citizens Connect App,Normal,42.3663,-71.0621
53416,101002327385,Constituent Call,Normal,42.2968,-71.0689
53417,101002327384,Constituent Call,Normal,42.3519,-71.1187
53418,101002327383,Citizens Connect App,Normal,42.3498,-71.0509
53419,101002327382,Citizens Connect App,Normal,42.336000000000006,-71.0266
53420,101002327381,Constituent Call,Normal,42.3594,-71.0587
53421,101002327380,Citizens Connect App,Normal,42.3102,-71.0583
53422,101002327379,Citizens Connect App,Normal,42.3053,-71.0671
53423,101002327378,Constituent Call,Normal,42.2471,-71.1158
53424,101002327376,Citizens Connect App,Normal,42.3594,-71.0587
53425,101002327375,Citizens Connect App,Normal,42.2858,-71.0461
53426,101002327374,Citizens Connect App,Normal,42.3496,-71.1523
53427,101002327373,Citizens Connect App,Normal,42.3585,-71.1289
53428,101002327372,Citizens Connect App,Normal,42.3594,-71.0587
53429,101002327371,Constituent Call,Normal,42.2851,-71.0848
53430,101002327370,Constituent Call,Normal,42.3275,-71.0945
53431,101002327369,Citizens Connect App,Normal,42.2787,-71.0722
53432,101002327368,Citizens Connect App,Normal,42.2947,-71.0608
53433,101002327367,Citizens Connect App,Normal,42.3445,-71.1436
53434,101002327366,Constituent Call,Normal,42.3821,-71.0357
53435,101002327365,Self Service,Normal,42.3482,-71.0886
53436,101002327364,Constituent Call,Normal,42.3594,-71.0587
53437,101002327362,Citizens Connect App,Normal,42.3594,-71.0587
53438,101002327361,Constituent Call,Normal,42.3692,-71.0374
53439,101002327360,Constituent Call,Normal,42.2948,-71.0546
53440,101002327359,Constituent Call,Normal,42.3385,-71.077
53441,101002327358,Self Service,Normal,42.3566,-71.0565
53442,101002327357,Citizens Connect App,Normal,42.3002,-71.1131
53443,101002327348,Citizens Connect App,Normal,42.3594,-71.0587
53444,101002327347,Citizens Connect App,Normal,42.3594,-71.0587
53445,101002327346,Citizens Connect App,Normal,42.3155,-71.0942
53446,101002327345,Citizens Connect App,Normal,42.3594,-71.0587
53447,101002327343,Citizens Connect App,Normal,42.3594,-71.0587
53448,101002327342,Employee Generated,Normal,42.3594,-71.0587
53449,101002327341,Citizens Connect App,Normal,42.3448,-71.0743
53450,101002327340,Citizens Connect App,Normal,42.3305,-71.035
53451,101002327339,Citizens Connect App,Normal,42.3423,-71.1469
53452,101002327338,Citizens Connect App,Normal,42.3594,-71.0587
53453,101002327336,Self Service,Normal,42.3272,-71.1044
53454,101002327335,Citizens Connect App,Normal,42.3235,-71.0871
53455,101002327334,Citizens Connect App,Normal,42.3594,-71.0587
53456,101002327333,Constituent Call,Normal,42.2737,-71.1002
53457,101002327332,Citizens Connect App,Normal,42.3362,-71.0738
53458,101002327330,Citizens Connect App,Normal,42.2412,-71.1305
53459,101002327329,Citizens Connect App,Normal,42.3594,-71.0587
53460,101002327328,Citizens Connect App,Normal,42.2665,-71.1054
53461,101002327327,Citizens Connect App,Normal,42.3142,-71.0551
53462,101002327326,Citizens Connect App,Normal,42.3594,-71.0587
53463,101002327325,Constituent Call,Normal,42.3594,-71.0587
53464,101002327324,Constituent Call,Normal,42.3441,-71.1441
53465,101002327323,Constituent Call,Normal,42.2993,-71.1099
53466,101002327322,Citizens Connect App,Normal,42.345,-71.0889
53467,101002327321,Citizens Connect App,Normal,42.3513,-71.085
53468,101002327320,Citizens Connect App,Normal,42.3751,-71.0555
53469,101002327319,Self Service,Normal,42.3516,-71.0609
53470,101002327318,Citizens Connect App,Normal,42.3322,-71.0341
53471,101002327317,Citizens Connect App,Normal,42.2866,-71.135
53472,101002327316,Constituent Call,Normal,42.3558,-71.1317
53473,101002327315,Citizens Connect App,Normal,42.3482,-71.094
53474,101002327314,Citizens Connect App,Normal,42.3594,-71.0587
53475,101002327313,Citizens Connect App,Normal,42.3594,-71.0587
53476,101002327312,Citizens Connect App,Normal,42.3485,-71.0939
53477,101002327311,Citizens Connect App,Normal,42.3398,-71.0563
53478,101002327310,Citizens Connect App,Normal,42.3094,-71.0653
53479,101002327309,Citizens Connect App,Normal,42.3594,-71.0587
53480,101002327308,Citizens Connect App,Normal,42.309,-71.0649
53481,101002327307,Citizens Connect App,Normal,42.3594,-71.0587
53482,101002327306,Constituent Call,Normal,42.3594,-71.0587
53483,101002327305,Citizens Connect App,Normal,42.3682,-71.0347
53484,101002327304,Citizens Connect App,Normal,42.3594,-71.0587
53485,101002327302,Citizens Connect App,Normal,42.3491,-71.1597
