,CASE_ENQUIRY_ID,Source,storm_event,Latitude,Longitude
8508,101002400594,Citizens Connect App,Skylar,42.3803,-71.0364
8509,101002400593,Citizens Connect App,Skylar,42.3362,-71.0762
8510,101002400592,Citizens Connect App,Skylar,42.2927,-71.0614
8511,101002400591,Citizens Connect App,Skylar,42.3309,-71.0525
8512,101002400589,Citizens Connect App,Skylar,42.3594,-71.0587
8513,101002400588,Constituent Call,Skylar,42.288000000000004,-71.0471
8514,101002400587,Citizens Connect App,Skylar,42.3594,-71.0587
8515,101002400586,Citizens Connect App,Skylar,42.3661,-71.0568
8516,101002400584,Self Service,Skylar,42.3429,-71.0866
8517,101002400583,Citizens Connect App,Skylar,42.3441,-71.1455
8518,101002400582,Citizens Connect App,Skylar,42.3439,-71.1451
8519,101002400581,Citizens Connect App,Skylar,42.3435,-71.1444
8520,101002400580,Self Service,Skylar,42.3594,-71.0691
8521,101002400579,Citizens Connect App,Skylar,42.3315,-71.0487
8522,101002400578,Citizens Connect App,Skylar,42.2828,-71.1575
8523,101002400577,Citizens Connect App,Skylar,42.299,-71.0706
8524,101002400576,Citizens Connect App,Skylar,42.3594,-71.0691
8525,101002400575,Citizens Connect App,Skylar,42.3594,-71.0587
8526,101002400574,Citizens Connect App,Skylar,42.2982,-71.1728
8527,101002400573,Citizens Connect App,Skylar,42.3209,-71.1139
8528,101002400572,Citizens Connect App,Skylar,42.3594,-71.0587
8529,101002400570,Citizens Connect App,Skylar,42.2598,-71.1198
8530,101002400569,Citizens Connect App,Skylar,42.3594,-71.0587
8531,101002400567,Citizens Connect App,Skylar,42.3594,-71.0587
8532,101002400566,Citizens Connect App,Skylar,42.3594,-71.0587
8533,101002400565,Constituent Call,Skylar,42.3149,-71.0609
8534,101002400564,Citizens Connect App,Skylar,42.3293,-71.0947
8535,101002400563,Citizens Connect App,Skylar,42.2859,-71.1469
8536,101002400562,Citizens Connect App,Skylar,42.3515,-71.0851
8537,101002400561,Citizens Connect App,Skylar,42.341,-71.0819
8538,101002400560,Constituent Call,Skylar,42.3594,-71.0587
8539,101002400558,Citizens Connect App,Skylar,42.3275,-71.0793
8540,101002400557,Citizens Connect App,Skylar,42.2776,-71.1453
8541,101002400556,Constituent Call,Skylar,42.3085,-71.0597
8542,101002400555,Citizens Connect App,Skylar,42.3275,-71.0797
8543,101002400554,Citizens Connect App,Skylar,42.3355,-71.03399999999999
8544,101002400553,Citizens Connect App,Skylar,42.3594,-71.0587
8545,101002400552,Self Service,Skylar,42.2765,-71.1479
8546,101002400551,Citizens Connect App,Skylar,42.3323,-71.0818
8547,101002400550,Self Service,Skylar,42.2956,-71.1638
8548,101002400549,Citizens Connect App,Skylar,42.2906,-71.12899999999999
8549,101002400548,Constituent Call,Skylar,42.3812,-71.0173
8550,101002400547,Citizens Connect App,Skylar,42.3594,-71.0587
8551,101002400544,Constituent Call,Skylar,42.3804,-71.0351
8552,101002400542,Citizens Connect App,Skylar,42.306999999999995,-71.1277
8553,101002400541,Citizens Connect App,Skylar,42.3423,-71.1505
8554,101002400540,Citizens Connect App,Skylar,42.3438,-71.1505
8555,101002400539,Constituent Call,Skylar,42.2965,-71.086
8556,101002400538,Citizens Connect App,Skylar,42.3372,-71.0373
8557,101002400537,Citizens Connect App,Skylar,42.2749,-71.0788
8558,101002400536,Constituent Call,Skylar,42.3035,-71.0646
8559,101002400535,Constituent Call,Skylar,42.3594,-71.0587
8560,101002400534,Citizens Connect App,Skylar,42.3315,-71.0486
8561,101002400533,Citizens Connect App,Skylar,42.2859,-71.1445
8562,101002400532,Citizens Connect App,Skylar,42.3315,-71.0487
8563,101002400531,Citizens Connect App,Skylar,42.3594,-71.0587
8564,101002400530,Citizens Connect App,Skylar,42.3594,-71.0587
8565,101002400529,Citizens Connect App,Skylar,42.3594,-71.0587
8566,101002400528,Citizens Connect App,Skylar,42.2861,-71.1385
8567,101002400527,Constituent Call,Skylar,42.3165,-71.0706
8568,101002400526,Citizens Connect App,Skylar,42.3599,-71.0662
8569,101002400525,Citizens Connect App,Skylar,42.3495,-71.1681
8570,101002400524,Citizens Connect App,Skylar,42.3184,-71.115
8571,101002400523,Citizens Connect App,Skylar,42.3594,-71.0587
8572,101002400522,Citizens Connect App,Skylar,42.3594,-71.0587
8573,101002400521,Citizens Connect App,Skylar,42.3594,-71.0587
8574,101002400520,Constituent Call,Skylar,42.379,-71.033
8575,101002400519,Citizens Connect App,Skylar,42.3315,-71.0487
8576,101002400518,Citizens Connect App,Skylar,42.3397,-71.1459
8577,101002400517,Citizens Connect App,Skylar,42.3518,-71.0819
8578,101002400516,Citizens Connect App,Skylar,42.3804,-71.0351
8579,101002400515,Citizens Connect App,Skylar,42.34,-71.145
8580,101002400514,Citizens Connect App,Skylar,42.3276,-71.0947
8581,101002400513,Citizens Connect App,Skylar,42.3401,-71.1452
8582,101002400512,Constituent Call,Skylar,42.3734,-71.0387
8583,101002400511,Citizens Connect App,Skylar,42.3234,-71.0919
8584,101002400510,Citizens Connect App,Skylar,42.3594,-71.0587
8585,101002400509,Citizens Connect App,Skylar,42.2785,-71.1584
8586,101002400508,Self Service,Skylar,42.3138,-71.0848
8587,101002400507,Self Service,Skylar,42.3113,-71.0685
8588,101002400506,Citizens Connect App,Skylar,42.3843,-71.017
8589,101002400505,Constituent Call,Skylar,42.3222,-71.0835
8590,101002400504,Citizens Connect App,Skylar,42.3594,-71.0587
8591,101002400502,Citizens Connect App,Skylar,42.3594,-71.0587
8592,101002400501,Citizens Connect App,Skylar,42.3448,-71.0721
8593,101002400499,Citizens Connect App,Skylar,42.3594,-71.0587
8594,101002400498,Citizens Connect App,Skylar,42.333,-71.0537
8595,101002400495,Constituent Call,Skylar,42.3177,-71.0732
8596,101002400494,Constituent Call,Skylar,42.2519,-71.1159
