,CASE_ENQUIRY_ID,Source,storm_event,Latitude,Longitude
56582,101002323693,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56583,101002323692,Citizens Connect App,Bombogenesis,42.338,-71.0773
56584,101002323690,Citizens Connect App,Bombogenesis,42.3597,-71.0665
56585,101002323688,Constituent Call,Bombogenesis,42.3641,-71.054
56586,101002323687,Self Service,Bombogenesis,42.2888,-71.1268
56587,101002323686,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56588,101002323685,Constituent Call,Bombogenesis,42.3001,-71.142
56589,101002323684,Citizens Connect App,Bombogenesis,42.3421,-71.0781
56590,101002323683,Citizens Connect App,Bombogenesis,42.3398,-71.0824
56591,101002323682,Citizens Connect App,Bombogenesis,42.3424,-71.0784
56592,101002323681,Citizens Connect App,Bombogenesis,42.3351,-71.0978
56593,101002323680,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56594,101002323678,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56595,101002323677,Citizens Connect App,Bombogenesis,42.3662,-71.0562
56596,101002323676,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56597,101002323675,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56598,101002323674,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56599,101002323673,Citizens Connect App,Bombogenesis,42.3442,-71.1642
56600,101002323672,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56601,101002323671,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56602,101002323670,Citizens Connect App,Bombogenesis,42.3224,-71.0881
56603,101002323669,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56604,101002323667,Constituent Call,Bombogenesis,42.2886,-71.1354
56605,101002323666,Constituent Call,Bombogenesis,42.3047,-71.1132
56606,101002323665,Citizens Connect App,Bombogenesis,42.3594,-71.0587
56607,101002323664,Citizens Connect App,Bombogenesis,42.3344,-71.0491
56608,101002323663,Constituent Call,Bombogenesis,42.3594,-71.0587
56609,101002323662,Constituent Call,Bombogenesis,42.2736,-71.0641
56610,101002323661,Citizens Connect App,Bombogenesis,42.3159,-71.1016
56611,101002323660,Constituent Call,Bombogenesis,42.2908,-71.1232
56612,101002323658,Citizens Connect App,Bombogenesis,42.3594,-71.0587
