,CASE_ENQUIRY_ID,Source,storm_event,Latitude,Longitude
732306,101001272590,Self Service,Juno,42.3547,-71.1626
732307,101001272588,Constituent Call,Juno,42.333999999999996,-71.0318
732308,101001272584,Citizens Connect App,Juno,42.3798,-71.0681
732309,101001272583,Self Service,Juno,42.3082,-71.1118
732310,101001272582,Constituent Call,Juno,42.2986,-71.0606
732311,101001272580,Citizens Connect App,Juno,42.3206,-71.1119
732312,101001272579,Constituent Call,Juno,42.3412,-71.0779
732313,101001272576,Self Service,Juno,42.3247,-71.1073
732314,101001272574,Self Service,Juno,42.3125,-71.1174
732315,101001272573,Constituent Call,Juno,42.27,-71.1211
732316,101001272571,Self Service,Juno,42.3406,-71.1476
732317,101001272570,Self Service,Juno,42.3592,-71.0699
732318,101001272569,Citizens Connect App,Juno,42.2792,-71.1417
732319,101001272566,Self Service,Juno,42.3523,-71.0797
732320,101001272565,Citizens Connect App,Juno,42.358000000000004,-71.1213
732321,101001272564,Constituent Call,Juno,42.3341,-71.0795
732322,101001272562,Self Service,Juno,42.3449,-71.0739
732323,101001272560,Constituent Call,Juno,42.3309,-71.1008
732324,101001272558,Citizens Connect App,Juno,42.3305,-71.0371
732325,101001272557,Constituent Call,Juno,42.3026,-71.0801
732326,101001272556,Constituent Call,Juno,42.3499,-71.0953
732327,101001272555,Constituent Call,Juno,42.3594,-71.0587
732328,101001272554,Self Service,Juno,42.3592,-71.0699
732329,101001272552,Self Service,Juno,42.3045,-71.1144
732330,101001272551,Self Service,Juno,42.3242,-71.1112
732331,101001272549,Self Service,Juno,42.2806,-71.1263
732332,101001272547,Constituent Call,Juno,42.3431,-71.0812
732333,101001272543,Constituent Call,Juno,42.3507,-71.1019
732334,101001272542,Citizens Connect App,Juno,42.3793,-71.0339
732335,101001272541,Constituent Call,Juno,42.3242,-71.1112
732336,101001272540,Constituent Call,Juno,42.3247,-71.1112
732337,101001272538,Constituent Call,Juno,42.3431,-71.0812
732338,101001272536,Citizens Connect App,Juno,42.3414,-71.1463
732339,101001272534,Constituent Call,Juno,42.2954,-71.0607
732340,101001272533,Constituent Call,Juno,42.303999999999995,-71.0785
732341,101001272532,Constituent Call,Juno,42.31399999999999,-71.0604
732342,101001272531,Self Service,Juno,42.3496,-71.1522
732343,101001272530,Constituent Call,Juno,42.3355,-71.0493
732344,101001272529,Constituent Call,Juno,42.3352,-71.0491
732345,101001272528,Citizens Connect App,Juno,42.3416,-71.0667
732346,101001272526,Constituent Call,Juno,42.3273,-71.1026
732347,101001272525,Self Service,Juno,42.3662,-71.0347
732348,101001272524,Constituent Call,Juno,42.2815,-71.0818
732349,101001272523,Constituent Call,Juno,42.2851,-71.0893
732350,101001272520,Citizens Connect App,Juno,42.3588,-71.0515
732351,101001272519,Constituent Call,Juno,42.2695,-71.096
732352,101001272517,Constituent Call,Juno,42.2954,-71.0702
732353,101001272516,Citizens Connect App,Juno,42.3579,-71.0513
732354,101001272514,Constituent Call,Juno,42.3172,-71.098
732355,101001272513,Citizens Connect App,Juno,42.3579,-71.0513
732356,101001272512,Citizens Connect App,Juno,42.3577,-71.0505
732357,101001272511,Citizens Connect App,Juno,42.3426,-71.0972
732358,101001272510,Citizens Connect App,Juno,42.3509,-71.0903
732359,101001272508,Constituent Call,Juno,42.2958,-71.0813
732360,101001272507,Citizens Connect App,Juno,42.3606,-71.064
732361,101001272506,Self Service,Juno,42.3106,-71.1205
732362,101001272505,Self Service,Juno,42.3464,-71.1555
732363,101001272504,Constituent Call,Juno,42.29600000000001,-71.0612
732364,101001272503,Self Service,Juno,42.3738,-71.0619
732365,101001272502,Constituent Call,Juno,42.339,-71.1509
732366,101001272501,Self Service,Juno,42.3368,-71.0744
732367,101001272500,Constituent Call,Juno,42.365,-71.0559
732368,101001272499,Self Service,Juno,42.336999999999996,-71.0747
732369,101001272498,Self Service,Juno,42.2938,-71.069
732370,101001272497,Constituent Call,Juno,42.3594,-71.0587
732371,101001272496,Constituent Call,Juno,42.3052,-71.0656
732372,101001272493,Self Service,Juno,42.336999999999996,-71.0746
732373,101001272492,Constituent Call,Juno,42.3594,-71.0587
732374,101001272491,Self Service,Juno,42.3808,-71.0153
732375,101001272490,Constituent Call,Juno,42.345,-71.0813
732376,101001272489,Constituent Call,Juno,42.285,-71.1458
732377,101001272488,Constituent Call,Juno,42.2434,-71.1215
732378,101001272487,Constituent Call,Juno,42.2829,-71.0598
732379,101001272486,Self Service,Juno,42.3756,-71.0623
732380,101001272485,Self Service,Juno,42.3272,-71.0873
732381,101001272483,Self Service,Juno,42.3282,-71.074
732382,101001272482,Self Service,Juno,42.345,-71.1504
732383,101001272481,Citizens Connect App,Juno,42.3483,-71.1584
732384,101001272480,Self Service,Juno,42.3429,-71.1603
732385,101001272479,Self Service,Juno,42.3802,-71.0346
732386,101001272478,Constituent Call,Juno,42.2842,-71.1106
732387,101001272477,Citizens Connect App,Juno,42.338,-71.0796
732388,101001272476,Constituent Call,Juno,42.3429,-71.1603
732389,101001272475,Self Service,Juno,42.3512,-71.0731
732390,101001272474,Self Service,Juno,42.3508,-71.1432
732391,101001272473,Constituent Call,Juno,42.3328,-71.1103
732392,101001272472,Citizens Connect App,Juno,42.3125,-71.0602
732393,101001272471,Constituent Call,Juno,42.343999999999994,-71.0727
732394,101001272470,Constituent Call,Juno,42.282,-71.05
732395,101001272469,Self Service,Juno,42.3026,-71.0616
732396,101001272468,Citizens Connect App,Juno,42.2963,-71.063
732397,101001272467,Constituent Call,Juno,42.3218,-71.1058
732398,101001272466,Constituent Call,Juno,42.3648,-71.0331
732399,101001272465,Citizens Connect App,Juno,42.3206,-71.0999
732400,101001272464,Self Service,Juno,42.3168,-71.1074
732401,101001272463,Constituent Call,Juno,42.2919,-71.1545
732402,101001272462,Constituent Call,Juno,42.3673,-71.0357
732403,101001272461,Constituent Call,Juno,42.3459,-71.0884
732404,101001272460,Constituent Call,Juno,42.3092,-71.0657
732405,101001272458,Constituent Call,Juno,42.2906,-71.1549
732406,101001272456,Constituent Call,Juno,42.318000000000005,-71.0921
732407,101001272455,Constituent Call,Juno,42.2822,-71.1282
732408,101001272454,Constituent Call,Juno,42.2533,-71.1275
732409,101001272453,Citizens Connect App,Juno,42.3129,-71.0494
732410,101001272452,Citizens Connect App,Juno,42.3594,-71.0587
732411,101001272451,Constituent Call,Juno,42.2491,-71.1278
732412,101001272449,Citizens Connect App,Juno,42.3108,-71.1121
732413,101001272448,Self Service,Juno,42.2798,-71.074
732414,101001272445,Citizens Connect App,Juno,42.3438,-71.1414
732415,101001272444,Constituent Call,Juno,42.3485,-71.158
732416,101001272443,Citizens Connect App,Juno,42.3427,-71.14
732417,101001272442,Self Service,Juno,42.3897,-70.9998
732418,101001272440,Self Service,Juno,42.3113,-71.077
732419,101001272439,City Worker App,Juno,42.3116,-71.1142
732420,101001272438,Constituent Call,Juno,42.3258,-71.0743
732421,101001272436,Constituent Call,Juno,42.3551,-71.0575
732422,101001272435,Constituent Call,Juno,42.373999999999995,-71.0615
732423,101001272434,Constituent Call,Juno,42.3459,-71.0884
732424,101001272432,Constituent Call,Juno,42.2877,-71.1596
732425,101001272431,Constituent Call,Juno,42.3594,-71.0587
732426,101001272430,Citizens Connect App,Juno,42.3318,-71.0462
732427,101001272428,Constituent Call,Juno,42.3292,-71.0921
732428,101001272427,Citizens Connect App,Juno,42.3652,-71.0347
732429,101001272425,Constituent Call,Juno,42.3515,-71.1246
732430,101001272424,Self Service,Juno,42.3176,-71.1082
732431,101001272423,Self Service,Juno,42.3594,-71.0587
732432,101001272421,Constituent Call,Juno,42.3137,-71.0558
732433,101001272420,Constituent Call,Juno,42.2961,-71.0741
732434,101001272419,Self Service,Juno,42.3522,-71.1216
732435,101001272418,Constituent Call,Juno,42.2961,-71.0741
732436,101001272417,Self Service,Juno,42.2942,-71.1667
732437,101001272416,Constituent Call,Juno,42.2877,-71.1596
