,user,mentions,replies,group,max,ratio
1,blairmillertv,37,6,local_news,37,0.16216216216216217
5,boston_water,46,13,local_gov,46,0.2826086956521739
9,bostonherald,32,6,local_news,32,0.1875
11,bostonpwd,37,10,local_gov,37,0.2702702702702703
18,ericholthaus,28,29,weather,29,1.0357142857142858
29,mattnbcboston,46,16,weather,46,0.34782608695652173
31,mbta_alerts,2,4,state_gov,4,2.0
33,met_cindyfitz,48,4,weather,48,0.08333333333333333
35,nbc10_mark,42,12,weather,42,0.2857142857142857
40,readyboston,4,38,local_gov,38,9.5
42,terrywbz,49,15,weather,49,0.30612244897959184
43,timnbcboston,31,14,weather,31,0.45161290322580644
45,tony_tpetrarca,43,5,weather,43,0.11627906976744186
46,wbur,47,16,local_news,47,0.3404255319148936
47,wbz,43,15,local_news,43,0.3488372093023256
48,wbznewsradio,20,47,local_news,47,2.35
